Spingarn Medal 	स्पिनगार्न मेडल 
Fort mcallister 	फोर्ट मैकऑलिस्टर 
Graham Yallop 	ग्रेहम यालॉप 
Veolia Environnement 	वेओलिया एनवायरमेंट 
Premio Quevedos for graphical humor 	प्रेमियो क्युवेडोस फॉर ग्रैफिकल ह्युमर 
Thilan Samaraweera 	थिलन समारावीरा 
Nasser Hussain 	नासिर हुसैन 
Maa Ka Pyar 	माँ का प्यार 
Anheuser Busch 	एन्ह्यूसर बुश 
Been Ka Jadu 	बीन का जादू 
Opra Winfre 	ऑपरा विन्फ़्रे 
Balram Shrikrishna 	बलराम श्रीक़ृष्ण 
Kahan Kahan Se Guzar Gaya 	कहाँ कहाँ से गुज़र गया 
Fort pitt 	फोर्ट पिट 
Premio Nadal 	प्रेमियो नडाल 
Hardanger fiddle 	हैरडेंजर फिडल 
Toppan Printing 	टॉपन प्रिंटिंग 
Rober Bosch 	रॉबर बॉश 
Deen Aur Iman 	दीन और ईमान 
Desh Shatru 	देश शत्रु 
Ram Leela 	राम लीला 
Christmas Island 	क्रिसमस आयलंड 
Clio Awards 	क्लियो अवार्ड 
Piya Pyare 	पिया प्यारे 
Dannie Heineman Prize 	डैनी हेनमैन प्राइज़ 
Thomas Hardy 	टॉमस हार्डी 
Godhra Junction 	गोधरा जंक्शन 
Trump World Tower 	ट्रम्प वर्ल्ड टॉवर 
Raja Harishchandra 	राजा हरीशचंद्र 
Aldous Huxley 	अल्डुअस हक्सले 
Sewnarine Chattergoon 	सिवनारायन चैटरगून 
Arun Shourie 	अरूण शौरी 
United Phosphorous 	यूनाइटेड फ़ॉस्फ़ोरस 
Vellore fort 	वेल्लोर फोर्ट 
Chetan Sharma 	चेतन शर्मा 
Graf Zeppelin 	ग्रेफ जेपलिन 
Zakir Hasan 	ज़ाकिर हसन 
Nellai Kahaaboman 	नेल्लाई कहाबोमन 
Rahul Sanghvi 	राहुल संघवी 
Gazi Ashraf 	गाज़ी अशरफ 
Rookie of the Year Award 	रूकी ऑफ द ईयर अवार्ड 
Ek Chadar Maili Si 	एक चादर मैली सी 
Derek Stirling 	डेरेक स्टरलिंग 
Sautela Pati 	सौतेला पति 
Jeff Thomson 	जेफ थॉमसन 
Raj Nandini 	राज नंदिनी 
Hamilton Masakadza 	हैमिल्टन मसाकद्‍ज़ा 
Great Basin 	ग्रेट बेसीन 
Bosch Chassis 	बॉश चेसिस 
Idemitsu Kosan 	आइडेमित्सु कोसान 
Kenny Benjamin 	केनी बेंजामिन 
Rama Newsprint 	रामा न्यूज़प्रिंट 
Taro Pharmaceutical Industries 	टैरो फ़ार्मास्युटिकल इंडस्ट्रीज़ 
Waterton Lakes 	वॉटरटॉन सरोवर 
Shanghai Museum 	शंघाई म्युज़ियम 
Order of Merit of the Principality of Liechtenstein 	ऑडर ऑफ मेरिट ऑफ द प्रिंसिपेलिटी ऑफ लीकटेंस्टीन 
Ghar Mei Ram Gali Mein Shyam 	घर में राम गली में श्याम 
Vilenica prize 	विलेनिका प्राइज़ 
Parthasarthi Sharma 	पार्थसार्थी शर्मा 
IGATE Solutions 	आईगेट सॉल्यूशन 
Order of Civil Merit 	ऑडर ऑफ सिविल मेरिट 
Baskin Robins 	बस्किन रॉबिन्स 
Anmol Ratan 	अनमोल रतन 
Tohfa Mohabbat Ka 	तोहफा मोहब्बत का 
Harinder Singh Mehboob 	हरिंदर सिंह महबूब 
Jay Vijay 	जय विजय 
Do Mastane 	दो मस्ताने 
Master Ji 	मास्टर जी 
Raj Kanya 	राज कन्या 
Abdur rahaman 	अब्दुर रहमान 
Abdus shafee 	अब्दुस शफी 
Dharti Ke Lal 	धरती के लाल 
Chaudfontaine fort 	कॉडफॉन्टेन फोर्ट 
National Wax Museum 	नेशनल वैक्स म्युज़ियम 
Avishkar Salvi 	आविष्कार साल्वि 
Abdul wakil 	अब्दुल वकील 
Qayamat Se Qayamat Tak 	क़यामत से क़यामत तक 
Bhatke Rahi 	भटके राही 
Gareth Breese 	गैरेथ ब्रीस 
University of Coventry 	यूनिवर्सिटी ऑफ कॉवेंनट्री 
Sophia High School 	सोफिया हाई स्कूल 
Bees Saal Baad 	बीस साल बाद 
Rimjhim Geeton Ki 	रिमझिम गीतों की 
Gurudwara Taashkand 	गुरूद्वारा ताशकंद 
Panama Canal 	पनामा केनाल 
House of Prayer Lutheran 	हाउस ऑफ प्रेअर लुथेरान 
EXFO Electro-Optical Engineering 	ईएक्सएफ़ओ इलेक्ट्रो-ऑप्टिकल इंजीनियरिंग 
Ashley Mallett 	एशले मैलेट 
Sri Ramakrishna Vidyashala, Mysore 	श्री रामकृष्ण व‍िद्याशाला, मैसूर 
Jawab Hum Denge 	जवाब हम देंगे 
Nisal Fernando 	निसल फर्नेंडो 
High Point 	हाई पॉइंट 
Aaja Re O Sajna 	आजा रे ओ सजना 
Abdul wahid 	अब्दुल वहीद 
Rocket Tarzan 	रॉकेट टार्ज़न 
Saawan Ko Aane Do 	सावन को आने दो 
Fort clatsop 	फोर्ट क्लैटसॉप 
Kisi Se Na Kehna 	किसी से न कहना 
Dildarnagar Junction 	दिलदारनगर जंक्शन 
Museum of Welsh Life 	म्युज़ियम ऑफ वेल्श लाइफ 
Chal Chal Re Naujawan 	चल चल रे नौजवान 
Dainik janambhumi 	दैन‍िक जन्मभूमि 
Malayala manorama 	मालायला मनोरमा 
Check Point Software Technologies 	चेक पॉईंट सॉफ़्टवेयर टेक्नोलॉजीज़ 
Stephen Leacock Award 	स्टीफन लीकॉक अवार्ड 
Ajith Weerakkody 	अजीथ वीरक्कोडी 
Coretta Scott King 	कोरीटा स्कॉट किंग 
Purab Aur Pashcim 	पूरब और पश्चिम 
Atonement Lutheran 	अटॉनमेंट लुथेरान 
Fort vredeburg 	फोर्ट व्रेडबर्ग 
Aziz Mahmud Hudayi 	अज़ीज़ महमूद हुदाई 
Murali Kartik 	मुराली कार्तिक 
Peter Lever 	पीटर लीवर 
Post Box 	पोस्ट बॉक्स 
Murray Parker 	मुर्रे पार्कर 
German Historical Museum 	जर्मन ह‍िस्टॉर‍िकल म्युज़ियम 
Call Girl 	कॉल गर्ल 
Kevin Arnott 	केविन आरनॉट 
Hollywood Walk of Fame 	हॉलीवुड वॉक ऑफ फेम 
Yeh To Kamal Ho Gaya 	ये तो कमाल हो गया 
Talha Jubair 	ताल्हा जुबैर 
Aur Kaun 	और कौन 
National Folk Museum 	नेशनल फोक म्युज़ियम 
Exxon Valdez 	एक्सोन वल्डेज 
Bay Life Community 	बे लाइफ कम्युनिटी 
Fort fareham 	फोर्ट फेयरहैम 
Courtney Love 	कोर्टनी लव 
Ajmer Junction 	अजमेर जंक्शन 
Cahora Bassa Dam 	कहोरा बस्सा डैम 
Kali Basti 	काली बस्ती 
Abdul ahad 	अब्दुल अहद 
Hum Matawle Naujawan 	हम मतवाले नौजवान 
Zulm Ka Badla 	ज़ुल्म का बदला 
Walt Whitman 	वॉल्ट व्हिटमॅन 
Abdul baari 	अब्दुल बारी 
Welham Boys' School, Dehradun 	वेल्हैम बॉयज़ स्कूल, देहरादून 
Adbul qawi 	अद्‍बुल कावी 
Jai Ambe Maa 	जय अम्बे माँ 
Mercator Lines 	मर्केटर लाइन्स 
Waqt Ke Shahzade 	वक्त के शहज़ादे 
Fan lau fort 	फन लॉ फोर्ट 
National Order of Quebec 	नेशनल ऑर्डर ऑफ क्यूबेक 
Terry Alderman 	टेरी एल्डरमैन 
Rama O Rama 	रामा ओ रामा 
Meyrick Pringle 	मेरिक प्रिंगल 
Jab Yaad Kisi Ki Aati Hai 	जब याद किसी की आती है 
Hart Memorial Trophy 	हार्ट मेमोरियल ट्रॉफी 
Samrat Prithviraj Chauhan 	सम्राट पृथ्वीराज चौहान 
Tera Karam Mera Dharam 	तेरा करम मेरा धरम 
Gauri Pooja 	गौरी पूजा 
Victory Assembly of God 	विक्ट्री असेंबली ऑफ गॉड 
Hajji Bektash Wali 	हाजी बेकताश वाली 
Waqt Waqt Ki Baat 	वक्त वक्त की बात 
Order of National Security Merit 	ऑडर ऑफ नेशनल सिक्योरिटी मेरिट 
Leonardo da Vinci 	लियोनार्डो दा विंसी 
Geeta Mera Naam 	गीता मेरा नाम 
Kullursandai Reservoir 	कुल्लुरसन्दई रिज़रवायर 
Jeff Crowe 	जेफ क्रौ 
Paisa Yeh Paisa 	पैसा ये पैसा 
Abdur rasheed 	अब्दुर रशीद 
Sheikh Said 	शेख सईद 
Geraint Jones 	गेरैंट जोंस 
Tuntex Sky Tower 	टर्नटेक्स स्काय टॉवर 
Fort assiniboine 	फोर्ट एसीनिबोइन 
Meri Aankhen 	मेरी आँखें 
Vijaya karnataka 	व‍िजय कर्नाटका 
Hugo Weaving 	ह्यूगो विविंग 
Hisham Kabbani 	हिशाम कब्बानी 
Simon Peterson 	साइमन पीटरसन 
Gangapur Dam 	गंगापुर डैम 
Aye Milan Ki Bela 	आई मिलन की बेला 
Baghdad Ka Chor 	बगदाद का चोर 
Bu Ali Shah Qalandar 	बू अली शाह क़लंदर 
Jack Heron 	जैक हेरन 
Bilal Asad 	बिलाल आसद 
Jupiter Bio 	ज्युपिटर बायो 
University of Glasgow 	यूनिवर्सिटी ऑफ ग्लैसगो 
Fort de chartres 	फोर्ट डे कार्टेस 
Spectrum Signal Processing 	स्पेक्ट्रम सिग्नल प्रोसेसिंग 
Jeevan Jyoti 	जीवन ज्योति 
Mohammad Khalil 	मोहम्मद खलिल 
Nai Imarat 	नई इमारत 
Wayne James 	वेन जेम्स 
The Perfect Murder 	द पर्फेक्ट मर्डर 
Shaw Wallace 	शॉ वैलेस 
Boris Yeltsin 	बोरिस येल्तसिन 
Gammon India 	गैमॉन इंडिया 
Robin Peterson 	रॉबिन पीटरसन 
Pyar Ki Baaten 	प्यार की बातें 
Ganga Maiya 	गंगा मैया 
Valley Forge 	वैली फॉर्ज 
Ek Tha Ladka 	एक था लड़का 
Hindu American 	हिन्दू अमेरिकन 
Norbert Phillip 	नॉबर्ट फिलिप 
Apni Chhaya 	अपनी छाया 
Lal Dupatta 	लाल दुपट्टा 
Bir Uttom 	बीर उत्तोम 
Crossroads Christian Center 	क्रॉसरोडस क्रिश्चियन सेंटर 
Bade Dilwala 	बड़े दिलवाला 
Shiv Charan 	शिव चरण 
Jal Bin Machali 	जल बिन मछ्ली 
Gunnar Myrdal 	गुन्नार मिर्डल 
Ramanadhi Reservoir 	रामानधी रिज़रवायर 
Bansi Paharpur 	बंसी पहारपुर 
Sunflag Iron 	सनफ़्लैग आयरन 
Mahavir Spinnin 	महावीर स्पिनिन 
Mount Abu 	माउंट आबू 
Shiv Leela 	शिव लीला 
Laurence Olivier Awards 	लॉरेंस ओलिवर अवार्ड्‍स 
Jeet Hamari 	जीत हमारी 
Melbourne Cup 	मेल्बॉर्न कप 
Pahadi Kanya 	पहाड़ी कन्या 
Shipping Corp 	शिपिंग कॉर्प 
Paap Ka Anth 	पाप का अंत 
